# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
0	16	2.55	1.33	1.48	2.10	ark--C_omp--ark_brusselator1D_omp	1
1	1	5.63	3.26	1.66	2.04	ark--C_par--ark_diurnal_kry_bbd_p	2
2	1	2.13	1.39	1.38	1.81	ark--C_par--ark_diurnal_kry_p	2
3	2	2.26	1.65	1.35	1.40	ark--C_ser--ark_KrylovDemo_prec	1
4	1128	1.32	1.02	1.28	1.36	ark--C_ser--ark_analytic	1
5	6946	1.48	1.04	1.40	1.49	ark--C_ser--ark_analytic_nonlin	1
6	1266	1.42	1.07	1.30	1.38	ark--C_ser--ark_brusselator	1
7	22	1.52	1.10	1.37	1.45	ark--C_ser--ark_brusselator1D	1
8	8	3.06	1.13	2.65	2.80	ark--C_ser--ark_brusselator1D_FEM_slu	1
9	22	1.13	1.03	1.10	1.17	ark--C_ser--ark_brusselator1D_klu	1
10	239	1.29	1.02	1.25	1.32	ark--C_ser--ark_brusselator_fp	1
11	33	1.19	0.98	1.17	1.22	ark--C_ser--ark_heat1D	1
12	33	1.48	1.10	1.32	1.39	ark--C_ser--ark_heat1D_adapt	1
13	223	1.43	1.08	1.31	1.38	ark--C_ser--ark_robertson	1
14	204	1.37	1.07	1.25	1.32	ark--C_ser--ark_robertson_root	1
15	1651	1.47	1.02	1.42	1.46	cv--par--cvAdvDiff_diag_p	2
16	68	1.12	1.06	1.02	1.10	cv--par--cvAdvDiff_non_p	2
17	38	1.62	1.05	1.49	1.95	cv--par--cvDiurnal_kry_bbd_p	2
18	82	1.83	1.15	1.42	1.66	cv--par--cvDiurnal_kry_p	2
19	1720	1.14	1.02	1.10	1.15	cv--ser--cvAdvDiff_bnd	1
20	303	1.38	1.15	1.19	1.23	cv--ser--cvDirectDemo_ls	1
21	124	1.35	1.09	1.22	1.27	cv--ser--cvDiurnal_kry	1
22	124	1.63	1.09	1.49	1.55	cv--ser--cvDiurnal_kry_alt	3
23	48	1.48	1.10	1.33	1.38	cv--ser--cvDiurnal_kry_bp	1
24	38	1.38	1.06	1.23	1.30	cv--ser--cvKrylovDemo_ls	1
25	20	1.56	1.11	1.37	1.45	cv--ser--cvKrylovDemo_prec	1
26	2620	1.44	1.09	1.30	1.37	cv--ser--cvRoberts_dns	1
27	2500	1.36	1.02	1.31	1.36	cv--ser--cvRoberts_dns_uw	1
28	2500	1.46	1.02	1.42	1.46	cv--ser--cvRoberts_dns_uw_alt	3
29	2396	1.43	1.09	1.29	1.34	cv--ser--cvRoberts_klu	1
30	345	1.11	1.00	1.10	1.12	cv--ser--cvRoberts_sps	1
31	30	1.29	1.02	1.24	1.29	cvs--par--cvsAdvDiff_ASAp_non_p	2
32	48	1.15	1.10	1.00	1.07	cvs--par--cvsAdvDiff_FSA_non_p	2
33	7	3.54	1.03	3.38	3.91	cvs--par--cvsAtmDisp_ASAi_kry_bbd_p	2
34	5	1.49	1.03	1.41	2.07	cvs--par--cvsDiurnal_FSA_kry_p	2
35	24	1.31	1.10	1.14	1.19	cvs--ser--cvsAdvDiff_ASAi_bnd	1
36	638	1.45	1.14	1.25	1.29	cvs--ser--cvsAdvDiff_FSA_non	1
37	4	1.47	1.23	1.18	1.22	cvs--ser--cvsDiurnal_FSA_kry	1
38	1	1.48	1.06	1.40	1.48	cvs--ser--cvsFoodWeb_ASAi_kry	1
39	1	2.51	1.83	1.36	1.40	cvs--ser--cvsFoodWeb_ASAp_kry	1
40	681	1.58	1.18	1.31	1.37	cvs--ser--cvsHessian_ASA_FSA	1
41	479	1.43	1.10	1.29	1.35	cvs--ser--cvsRoberts_ASAi_dns	1
42	394	1.38	1.05	1.30	1.36	cvs--ser--cvsRoberts_ASAi_klu	1
43	80	1.24	1.09	1.11	1.15	cvs--ser--cvsRoberts_ASAi_sps	1
44	695	1.43	1.08	1.30	1.36	cvs--ser--cvsRoberts_FSA_dns	1
45	589	1.44	1.08	1.30	1.37	cvs--ser--cvsRoberts_FSA_klu	1
46	176	1.20	1.02	1.16	1.19	cvs--ser--cvsRoberts_FSA_sps	1
47	25	1.58	1.00	1.54	1.72	ida--par--idaFoodWeb_kry_bbd_p	2
48	31	1.79	1.08	1.59	1.70	ida--par--idaFoodWeb_kry_p	2
49	307	1.37	1.05	1.28	1.46	ida--par--idaHeat2D_kry_bbd_p	2
50	741	1.40	1.08	1.25	1.34	ida--par--idaHeat2D_kry_p	2
51	8	1.78	1.07	1.64	1.71	ida--ser--idaFoodWeb_bnd	1
52	20	2.23	1.08	2.07	2.12	ida--ser--idaFoodWeb_kry	1
53	1202	1.25	1.09	1.14	1.17	ida--ser--idaHeat2D_bnd	1
54	345	1.04	1.02	0.98	1.04	ida--ser--idaHeat2D_klu	1
55	1550	1.36	1.05	1.27	1.33	ida--ser--idaHeat2D_kry	1
56	966	1.35	1.06	1.26	1.35	ida--ser--idaKrylovDemo_ls	1
57	2495	1.52	1.08	1.40	1.48	ida--ser--idaRoberts_dns	1
58	2495	1.56	1.08	1.43	1.52	ida--ser--idaRoberts_dns_alt	3
59	2676	1.40	0.99	1.39	1.45	ida--ser--idaRoberts_klu	1
60	625	1.20	1.02	1.17	1.19	ida--ser--idaRoberts_sps	1
61	1863	1.76	1.14	1.53	1.60	ida--ser--idaSlCrank_dns	1
62	1	0.28	2.83	0.10	0.10	idas--C_omp--idasFoodWeb_bnd_omp	1
63	6	0.52	1.11	0.48	0.52	idas--C_omp--idasFoodWeb_kry_omp	1
64	9	1.42	1.08	1.29	1.47	idas--par--idasBruss_ASAp_kry_bbd_p	2
65	3	1.92	1.71	1.16	1.54	idas--par--idasBruss_FSA_kry_bbd_p	2
66	27	1.54	1.09	1.40	1.44	idas--par--idasBruss_kry_bbd_p	2
67	229	1.51	1.07	1.39	1.43	idas--par--idasHeat2D_FSA_kry_bbd_p	2
68	725	1.50	1.06	1.37	1.44	idas--ser--idasAkzoNob_ASAi_dns	1
69	1865	1.53	1.15	1.30	1.36	idas--ser--idasAkzoNob_dns	1
70	56	1.34	1.08	1.22	1.26	idas--ser--idasHessian_ASA_FSA	1
71	276	1.33	1.03	1.25	1.33	idas--ser--idasRoberts_ASAi_dns	1
72	263	1.37	1.08	1.24	1.30	idas--ser--idasRoberts_ASAi_klu	1
73	70	1.23	1.08	1.13	1.15	idas--ser--idasRoberts_ASAi_sps	1
74	338	1.44	1.08	1.31	1.38	idas--ser--idasRoberts_FSA_dns	1
75	313	1.34	1.02	1.30	1.36	idas--ser--idasRoberts_FSA_klu	1
76	175	1.37	1.11	1.23	1.25	idas--ser--idasRoberts_FSA_sps	1
77	145	1.26	0.99	1.23	1.30	idas--ser--idasSlCrank_FSA_dns	1
78	36	1.72	1.13	1.38	1.86	kin--par--kinFoodWeb_kry_bbd_p	2
79	16	1.60	1.13	1.24	1.44	kin--par--kinFoodWeb_kry_p	2
80	15715	1.79	1.03	1.72	1.82	kin--ser--kinFerTron_dns	1
81	11351	1.62	1.04	1.55	1.61	kin--ser--kinFerTron_klu	1
82	168	1.40	1.01	1.37	1.46	kin--ser--kinFoodWeb_kry	1
83	168	1.76	1.01	1.71	1.81	kin--ser--kinFoodWeb_kry_custom	4
84	166	1.69	1.05	1.59	1.66	kin--ser--kinKrylovDemo_ls	1
85	632	1.78	1.09	1.62	1.68	kin--ser--kinLaplace_bnd	1
86	230	1.31	1.16	1.11	1.18	kin--ser--kinLaplace_picard_bnd	1
87	166114	2.87	1.10	2.61	2.78	kin--ser--kinRoberts_fp	1
88	26629	2.30	1.15	1.93	2.05	kin--ser--kinRoboKin_dns	1
89	26629	2.07	1.15	1.75	1.88	kin--ser--kinRoboKin_dns_alt	3
90	4400	1.34	1.11	1.21	1.22	kin--ser--kinRoboKin_slu	1
