# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
0	15	1.48	0.95	1.52	1.60	ark--C_par--ark_brusselator1D_task_local_nls	2
1	1	4.67	3.83	1.20	1.23	ark--C_par--ark_diurnal_kry_bbd_p	2
2	1	2.50	2.05	1.20	1.23	ark--C_par--ark_diurnal_kry_p	2
3	2	2.24	1.38	1.62	1.63	ark--C_ser--ark_KrylovDemo_prec	1
4	1112	1.39	1.00	1.38	1.41	ark--C_ser--ark_analytic	1
5	1163	1.70	1.00	1.70	1.73	ark--C_ser--ark_analytic_mels	1
6	12196	1.71	0.99	1.72	1.75	ark--C_ser--ark_analytic_nonlin	1
7	1237	1.48	1.09	1.36	1.36	ark--C_ser--ark_brusselator	1
8	27	1.84	1.10	1.66	1.68	ark--C_ser--ark_brusselator1D	1
9	4	1.79	1.02	1.73	1.76	ark--C_ser--ark_brusselator1D_FEM_slu	1
10	21	1.06	1.00	1.06	1.06	ark--C_ser--ark_brusselator1D_klu	1
11	3	1.59	1.47	1.08	1.10	ark--C_ser--ark_brusselator_1D_mri	1
12	306	1.51	1.06	1.43	1.44	ark--C_ser--ark_brusselator_fp	1
13	1468	1.87	1.11	1.67	1.70	ark--C_ser--ark_brusselator_mri	1
14	31	1.28	1.08	1.18	1.19	ark--C_ser--ark_heat1D	1
15	56	1.84	1.07	1.70	1.72	ark--C_ser--ark_heat1D_adapt	1
16	40	1.46	0.98	1.45	1.53	ark--C_ser--ark_kpr_mri	1
17	226	1.72	1.11	1.53	1.57	ark--C_ser--ark_onewaycouple_mri	1
18	1	5.89	5.28	1.11	1.12	ark--C_ser--ark_reaction_diffusion_mri	1
19	167	1.37	1.04	1.32	1.34	ark--C_ser--ark_robertson	1
20	459	1.54	1.05	1.46	1.48	ark--C_ser--ark_robertson_constraints	1
21	165	1.41	1.09	1.29	1.31	ark--C_ser--ark_robertson_root	1
22	31	1.59	1.05	1.51	1.55	ark--C_ser--ark_twowaycouple_mri	1
23	5	1.39	1.03	1.35	1.36	ark--many--ark_brusselator1D_manyvec	1
24	20	1.42	1.05	1.33	1.37	cv--mpimany--cvDiurnal_kry_mpimanyvec	1
25	62	1.10	1.00	1.09	1.11	cv--par--cvAdvDiff_diag_p	2
26	48	1.12	1.02	1.09	1.11	cv--par--cvAdvDiff_non_p	2
27	16	1.19	1.02	1.13	1.18	cv--par--cvDiurnal_kry_bbd_p	2
28	32	1.20	0.99	1.18	1.24	cv--par--cvDiurnal_kry_p	2
29	2392	1.33	1.07	1.23	1.26	cv--ser--cvAdvDiff_bnd	1
30	18645	1.86	1.01	1.82	1.86	cv--ser--cvAnalytic_mels	1
31	368	1.46	1.09	1.33	1.36	cv--ser--cvDirectDemo_ls	1
32	11002	2.42	1.09	2.20	2.24	cv--ser--cvDisc_dns	1
33	134	1.38	1.00	1.37	1.38	cv--ser--cvDiurnal_kry	1
34	134	1.65	1.00	1.65	1.66	cv--ser--cvDiurnal_kry_alt	3
35	50	1.47	1.01	1.46	1.46	cv--ser--cvDiurnal_kry_bp	1
36	35	1.50	1.11	1.34	1.36	cv--ser--cvKrylovDemo_ls	1
37	22	1.75	1.02	1.70	1.72	cv--ser--cvKrylovDemo_prec	1
38	409	1.34	1.06	1.27	1.28	cv--ser--cvParticle_dns	1
39	30	1.23	1.01	1.20	1.23	cv--ser--cvPendulum_dns	1
40	13	1.19	1.01	1.17	1.18	cv--ser--cvRoberts_block_klu	1
41	3335	1.54	1.06	1.45	1.46	cv--ser--cvRoberts_dns	1
42	4232	1.57	1.04	1.51	1.52	cv--ser--cvRoberts_dns_constraints	1
43	1124	1.28	1.01	1.27	1.28	cv--ser--cvRoberts_dns_negsol	1
44	3334	1.56	1.03	1.51	1.53	cv--ser--cvRoberts_dns_uw	1
45	3334	2.64	1.03	2.54	2.59	cv--ser--cvRoberts_dns_uw_alt	3
46	3056	1.54	1.07	1.44	1.45	cv--ser--cvRoberts_klu	1
47	91	1.26	1.22	1.01	1.04	cv--ser--cvRoberts_sps	1
48	13	1.19	1.04	1.13	1.17	cvs--par--cvsAdvDiff_ASAp_non_p	2
49	18	1.11	1.04	1.06	1.08	cvs--par--cvsAdvDiff_FSA_non_p	2
50	6	2.00	1.06	1.87	1.94	cvs--par--cvsAtmDisp_ASAi_kry_bbd_p	2
51	3	1.34	1.10	1.18	1.24	cvs--par--cvsDiurnal_FSA_kry_p	2
52	27	1.25	1.02	1.23	1.25	cvs--ser--cvsAdvDiff_ASAi_bnd	1
53	667	1.41	1.00	1.41	1.43	cvs--ser--cvsAdvDiff_FSA_non	1
54	4	1.38	1.05	1.30	1.31	cvs--ser--cvsDiurnal_FSA_kry	1
55	2	3.06	1.70	1.80	1.82	cvs--ser--cvsFoodWeb_ASAi_kry	1
56	1	2.76	1.56	1.77	1.78	cvs--ser--cvsFoodWeb_ASAp_kry	1
57	667	1.57	1.00	1.56	1.58	cvs--ser--cvsHessian_ASA_FSA	1
58	550	1.55	1.06	1.45	1.47	cvs--ser--cvsRoberts_ASAi_dns	1
59	1012	1.66	1.03	1.59	1.62	cvs--ser--cvsRoberts_ASAi_dns_constraints	1
60	455	1.48	1.02	1.43	1.47	cvs--ser--cvsRoberts_ASAi_klu	1
61	19	1.22	1.14	1.06	1.08	cvs--ser--cvsRoberts_ASAi_sps	1
62	688	1.50	1.00	1.49	1.51	cvs--ser--cvsRoberts_FSA_dns	1
63	100	1.31	1.03	1.26	1.29	cvs--ser--cvsRoberts_FSA_dns_Switch	1
64	688	1.49	1.00	1.49	1.51	cvs--ser--cvsRoberts_FSA_dns_constraints	1
65	580	1.52	1.01	1.49	1.51	cvs--ser--cvsRoberts_FSA_klu	1
